,0,1,2,3
0,['wildboar'],1,[52.95568108558655],"[[0, 369, 633, 956]]"
1,[],0,[],[]
2,[],0,[],[]
3,['wildboar'],1,[89.1606330871582],"[[0, 321, 642, 1009]]"
4,['wildboar'],1,[87.39461898803711],"[[0, 417, 672, 1000]]"
5,['wildboar'],1,[84.84429717063904],"[[0, 352, 618, 1009]]"
6,['wildboar'],1,[60.435980558395386],"[[45, 351, 634, 1001]]"
7,[],0,[],[]
8,['wildboar'],1,[66.582190990448],"[[0, 403, 692, 1059]]"
9,['wildboar'],1,[96.03341817855835],"[[0, 407, 663, 1071]]"
10,['wildboar'],1,[89.04343843460083],"[[0, 337, 698, 1079]]"
11,['wildboar'],1,[70.68581581115723],"[[29, 276, 630, 1009]]"
12,['wildboar'],1,[86.06587648391724],"[[0, 353, 812, 1001]]"
13,['wildboar'],1,[87.01682686805725],"[[0, 352, 728, 1043]]"
14,['wildboar'],1,[87.01210618019104],"[[0, 286, 699, 1061]]"
15,['wildboar'],1,[79.4931948184967],"[[0, 349, 662, 1032]]"
16,['wildboar'],1,[77.37901210784912],"[[7, 216, 670, 1038]]"
17,['wildboar'],1,[71.06221914291382],"[[0, 319, 659, 1074]]"
18,['wildboar'],1,[73.96181225776672],"[[0, 336, 666, 1030]]"
19,['wildboar'],1,[72.86589741706848],"[[0, 285, 670, 1053]]"
20,[],0,[],[]
21,[],0,[],[]
22,['wildboar'],1,[54.35073375701904],"[[0, 323, 696, 1036]]"
23,['wildboar'],1,[63.57317566871643],"[[0, 260, 696, 1046]]"
24,['wildboar'],1,[71.5926468372345],"[[0, 345, 695, 1037]]"
25,['wildboar'],1,[66.21161699295044],"[[0, 246, 663, 1053]]"
26,['wildboar'],1,[53.6216676235199],"[[44, 314, 731, 1052]]"
27,['wildboar'],1,[64.37822580337524],"[[46, 322, 731, 1042]]"
28,[],0,[],[]
29,['wildboar'],1,[76.90377235412598],"[[0, 292, 684, 1035]]"
30,['wildboar'],1,[67.25434064865112],"[[6, 295, 680, 1066]]"
31,[],0,[],[]
32,[],0,[],[]
33,['wildboar'],1,[76.0233998298645],"[[0, 325, 690, 1064]]"
34,['wildboar'],1,[74.27869439125061],"[[42, 297, 633, 1054]]"
35,['wildboar'],1,[68.12554597854614],"[[100, 292, 643, 1046]]"
36,['wildboar'],1,[74.41848516464233],"[[1, 326, 681, 1056]]"
